,arxiv_link,pdf_link,title,authors,abstract,submitted
15,https://arxiv.org/abs/2010.07194,https://arxiv.org/pdf/2010.07194,Keys from the Sky: A First Exploration of Physical-Layer Security Using Satellite Links,"Authors: Pascal Zimmer, Roland Weinreich, Christian T. Zenger, Aydin Sezgin, Christof Paar","Abstract: …group-key establishment and proof of location. Fields of application include secure car-to-car communication, privacy-preserving and secure distance evidence for healthcare or location-based feature activation. Existing technologies do not solve the problem satisfactorily, due to communication restrictions, e.g., ultra-wide band (UWB) based time of flight me… ▽ More","Submitted 14 October, 2020; originally announced October 2020."
16,https://arxiv.org/abs/2010.07036,https://arxiv.org/pdf/2010.07036,"Machine Learning Research Towards Combating COVID-19: Virus Detection, Spread Prevention, and Medical Assistance","Authors: Osama Shahid, Mohammad Nasajpour, Seyedamin Pouriyeh, Reza M. Parizi, Meng Han, Maria Valero, Fangyu Li, Mohammed Aledhari, Quan Z. Sheng","Abstract: …and millions of people. The virus is deadly, and people who are suffering from prior illnesses or are older than the age of 60 are at a higher risk of mortality. Medicine and Healthcare industries have surged towards finding a cure, and different policies have been amended to mitigate the spread of the virus. While Machine Learning (ML) methods have been wid… ▽ More","Submitted 29 September, 2020; originally announced October 2020."
17,https://arxiv.org/abs/2010.07029,https://arxiv.org/pdf/2010.07029,Basic principles and concept design of a real-time clinical decision support system for autonomous medical care on missions to Mars based on adaptive deep learning,Authors: Juan M Garcia-Gomez,"Abstract: …radiation, along with distance, isolation and hostile environment are expected to increase medical events with unidentified manifestations along the crewmembers. The current healthcare strategy based on telemedicine and the possibility to stabilise and transport the injured crewmember to a terrestrial definitive medical facility is not applicable in explorat… ▽ More","Submitted 29 September, 2020; originally announced October 2020."
18,https://arxiv.org/abs/2010.06989,https://arxiv.org/pdf/2010.06989,Review the Enterprise Resource Planning in Moroccan Healthcare Organizations,"Authors: Fatima Zahra Yamani, Mohamed El Merouani",Abstract: …to specific areas. These systems have become an indispensable element within any hospital. The goal of our study is to discover how the ERP has been used in Moroccan healthcare sector and how these software should be implemented and used to improve healthcare services. ▽ More,"Submitted 22 September, 2020; originally announced October 2020."
19,https://arxiv.org/abs/2010.06820,https://arxiv.org/pdf/2010.06820,Equitable Allocation of Healthcare Resources with Fair Cox Models,"Authors: Kamrun Naher Keya, Rashidul Islam, Shimei Pan, Ian Stockwell, James R. Foulds","Abstract: Healthcare programs such as Medicaid provide crucial services to vulnerable populations, but due to limited resources, many of the individuals who need these services the most languish on waiting lists. Survival models, e.g. the Cox proportional hazards model, can potentially improve this situation by predicting individuals' levels of need, which can the… ▽ More","Submitted 14 October, 2020; originally announced October 2020."
20,https://arxiv.org/abs/2010.06430,https://arxiv.org/pdf/2010.06430,A standardized framework for risk-based assessment of treatment effect heterogeneity in observational healthcare databases,"Authors: Alexandros Rekkas, David van Klaveren, Patrick B. Ryan, Ewout W. Steyerberg, David M. Kent, Peter R. Rijnbeek","Abstract: Aim: One of the aims of the Observation Health Data Sciences and Informatics (OHDSI) initiative is population-level treatment effect estimation in large observational databases. Since treatment effects are well-known to vary across groups of patients with different baseline risk, we aimed to extend the OHDSI methods library with a framework for risk-based assessment of treatment effect heterogenei… ▽ More","Submitted 13 October, 2020; originally announced October 2020."
21,https://arxiv.org/abs/2010.06418,https://arxiv.org/pdf/2010.06418,RANDGAN: Randomized Generative Adversarial Network for Detection of COVID-19 in Chest X-ray,"Authors: Saman Motamed, Patrik Rogalla, Farzad Khalvati",Abstract: COVID-19 spread across the globe at an immense rate has left healthcare systems incapacitated to diagnose and test patients at the needed rate. Studies have shown promising results for detection of COVID-19 from viral bacterial pneumonia in chest X-rays. Automation of COVID-19 testing using medical images can speed up the testing process of patients where he… ▽ More,"Submitted 6 October, 2020; originally announced October 2020."
22,https://arxiv.org/abs/2010.06296,https://arxiv.org/pdf/2010.06296,Humane Visual AI: Telling the Stories Behind a Medical Condition,"Authors: Wonyoung So, Edyta P. Bogucka, Sanja Šćepanović, Sagar Joglekar, Ke Zhou, Daniele Quercia","Abstract: …mind on previously held opinions: 10% gave more importance to the psychological aspects of medical conditions, and 27% were more favourable to the use of social media data in healthcare, suggesting the importance of persuasive elements in interactive visualizations. ▽ More","Submitted 13 October, 2020; originally announced October 2020."
23,https://arxiv.org/abs/2010.06177,https://arxiv.org/pdf/2010.06177,COVID-19 Imaging Data Privacy by Federated Learning Design: A Theoretical Framework,"Authors: Anwaar Ulhaq, Oliver Burmeister","Abstract: To address COVID-19 healthcare challenges, we need frequent sharing of health data, knowledge and resources at a global scale. However, in this digital age, data privacy is a big concern that requires the secure embedding of privacy assurance into the design of all technological solutions that use health data. In this paper, we introduce differential privacy… ▽ More","Submitted 13 October, 2020; originally announced October 2020."
24,https://arxiv.org/abs/2010.06059,https://arxiv.org/pdf/2010.06059,A Framework for Addressing the Risks and Opportunities In AI-Supported Virtual Health Coaches,"Authors: Sonia Baee, Mark Rucker, Anna Baglione, Mawulolo K. Ameko, Laura Barnes","Abstract: Virtual coaching has rapidly evolved into a foundational component of modern clinical practice. At a time when healthcare professionals are in short supply and the demand for low-cost treatments is ever-increasing, virtual health coaches (VHCs) offer intervention-on-demand for those limited by finances or geographic access to care. More recently, AI-powered… ▽ More","Submitted 12 October, 2020; originally announced October 2020."
25,https://arxiv.org/abs/2010.05855,https://arxiv.org/pdf/2010.05855,Fully Automatic Wound Segmentation with Deep Convolutional Neural Networks,"Authors: Chuanbo Wang, DM Anisuzzaman, Victor Williamson, Mrinal Kanti Dhar, Behrouz Rostami, Jeffrey Niezgoda, Sandeep Gopalakrishnan, Zeyun Yu",Abstract: Acute and chronic wounds have varying etiologies and are an economic burden to healthcare systems around the world. The advanced wound care market is expected to exceed $22 billion by 2024. Wound care professionals rely heavily on images and image documentation for proper diagnosis and treatment. Unfortunately lack of expertise can lead to improper diagnosis… ▽ More,"Submitted 12 October, 2020; originally announced October 2020."
26,https://arxiv.org/abs/2010.05635,https://arxiv.org/pdf/2010.05635,Inferring Causal Direction from Observational Data: A Complexity Approach,"Authors: Nikolaos Nikolaou, Konstantinos Sechidis","Abstract: At the heart of causal structure learning from observational data lies a deceivingly simple question: given two statistically dependent random variables, which one has a causal effect on the other? This is impossible to answer using statistical dependence testing alone and requires that we make additional assumptions. We propose several fast and simple criteria for distinguishing cause and effect… ▽ More","Submitted 12 October, 2020; originally announced October 2020."
27,https://arxiv.org/abs/2010.05349,https://arxiv.org/pdf/2010.05349,ComStreamClust: A communicative text clustering approach to topic detection in streaming data,"Authors: Ali Najafi, Araz Gholipour-Shilabin, Rahim Dehkharghani, Ali Mohammadpur-Fard, Meysam Asgari-Chenaghlu","Abstract: …ideas with others about different issues. One such prevalent issue is the COVID-19 pandemic. Detecting and tracking topics on these kinds of issues would help governments and healthcare companies deal with this phenomenon. In this paper, we propose a novel communicative clustering approach, so-called ComStreamClust for clustering sub-topics inside a broader… ▽ More","Submitted 11 October, 2020; originally announced October 2020."
28,https://arxiv.org/abs/2010.05247,https://arxiv.org/pdf/2010.05247,Telerobotic Operation of Intensive Care Unit Ventilators,"Authors: Balazs P. Vagvolgyi, Mikhail Khrenov, Jonathan Cope, Anton Deguet, Peter Kazanzides, Sajid Manzoor, Russell H. Taylor, Axel Krieger","Abstract: …disease caused by this virus, COVID-19. In the US alone, there have been approximately 7 million cases and over 200,000 deaths. This outbreak has placed an enormous strain on healthcare systems and workers. Severe cases require hospital care, and 8.5\% of patients require mechanical ventilation in an intensive care unit (ICU). One major challenge is the nece… ▽ More","Submitted 11 October, 2020; originally announced October 2020."
29,https://arxiv.org/abs/2010.05164,https://arxiv.org/pdf/2010.05164,A General Model of Conversational Dynamics and an Example Application in Serious Illness Communication,"Authors: Laurence A. Clarfeld, Robert Gramling, Donna M. Rizzo, Margaret J. Eppstein","Abstract: …patterns vary across narrative time and differ under expressions of anger, fear and sadness. Potential applications of CODYMs range from assessment and training of effective healthcare communication to comparing conversational dynamics across language and culture, with the prospect of identifying universal similarities and unique ""fingerprints"" of in… ▽ More","Submitted 11 October, 2020; originally announced October 2020."
30,https://arxiv.org/abs/2010.05079,https://arxiv.org/pdf/2010.05079,"Nowcasting of COVID-19 confirmed cases: Foundations, trends, and challenges","Authors: Tanujit Chakraborty, Indrajit Ghosh, Tirna Mahajan, Tejasvi Arora","Abstract: …to show that there is no universal method available that can accurately forecast pandemic data. Still, forecasters' predictions are useful for the effective allocation of healthcare resources and will act as an early-warning system for government policymakers. ▽ More","Submitted 10 October, 2020; originally announced October 2020."
31,https://arxiv.org/abs/2010.04652,https://arxiv.org/pdf/2010.04652,Towards Social HRI for Improving Children's Healthcare Experiences,"Authors: Mary Ellen Foster, Ronald P. A. Petrick","Abstract: …and social actions for interacting with humans. The robot will operate in a task environment where appropriate and safe interaction with children, parents/caregivers, and healthcare professionals is required. In addition to addressing the core technical challenge of building an autonomous social robot, the project will incorporate co-design techniques invol… ▽ More","Submitted 9 October, 2020; originally announced October 2020."
32,https://arxiv.org/abs/2010.04420,https://arxiv.org/pdf/2010.04420,Prognosis Prediction in Covid-19 Patients from Lab Tests and X-ray Data through Randomized Decision Trees,"Authors: Alfonso Emilio Gerevini, Roberto Maroldi, Matteo Olivato, Luca Putelli, Ivan Serina","Abstract: AI and Machine Learning can offer powerful tools to help in the fight against Covid-19. In this paper we present a study and a concrete tool based on machine learning to predict the prognosis of hospitalised patients with Covid-19. In particular we address the task of predicting the risk of death of a patient at different times of the hospitalisation, on the base of some demographic information, c… ▽ More","Submitted 9 October, 2020; originally announced October 2020."
33,https://arxiv.org/abs/2010.03805,https://arxiv.org/pdf/2010.03805,Cascaded WLAN-FWA Networking and Computing Architecture for Pervasive In-Home Healthcare,"Authors: Sergio Martiradonna, Giulia Cisotto, Gennaro Boggia, Giuseppe Piro, Lorenzo Vangelista, Stefano Tomasin","Abstract: Pervasive healthcare is a promising assisted-living solution for chronic patients. However, current cutting-edge communication technologies are not able to strictly meet the requirements of these applications, especially in the case of life-threatening events. To bridge this gap, this paper proposes a new architecture to support indoor… ▽ More","Submitted 8 October, 2020; originally announced October 2020."
34,https://arxiv.org/abs/2010.03671,https://arxiv.org/pdf/2010.03671,Adversarial Attacks to Machine Learning-Based Smart Healthcare Systems,"Authors: AKM Iqtidar Newaz, Nur Imtiazul Haque, Amit Kumar Sikder, Mohammad Ashiqur Rahman, A. Selcuk Uluagac","Abstract: The increasing availability of healthcare data requires accurate analysis of disease diagnosis, progression, and realtime monitoring to provide improved treatments to the patients. In this context, Machine Learning (ML) models are used to extract valuable features and insights from high-dimensional and heterogeneous… ▽ More","Submitted 7 October, 2020; originally announced October 2020."
35,https://arxiv.org/abs/2010.03624,https://arxiv.org/pdf/2010.03624,Infant-ID: Fingerprints for Global Good,"Authors: Joshua J. Engelsma, Debayan Deb, Kai Cao, Anjoo Bhatnagar, Prem S. Sudhish, Anil K. Jain","Abstract: …Infant-Prints can deliver accurate and reliable recognition (over time) of infants enrolled between the ages of 2-3 months, in time for effective delivery of vaccinations, healthcare, and nutritional supplements (TAR=95.2% @ FAR = 1.0% for infants aged 8-16 weeks at enrollment and authenticated 3 months later). ▽ More","Submitted 7 October, 2020; originally announced October 2020."
36,https://arxiv.org/abs/2010.03324,https://arxiv.org/pdf/2010.03324,Automated Human Activity Recognition by Colliding Bodies Optimization-based Optimal Feature Selection with Recurrent Neural Network,"Authors: Pankaj Khatiwada, Matrika Subedi, Ayan Chatterjee, Martin Wulf Gerdes","Abstract: In smart healthcare, Human Activity Recognition (HAR) is considered to be an efficient model in pervasive computation from sensor readings. The Ambient Assisted Living (AAL) in the home or community helps the people in providing independent care and enhanced living quality. However, many AAL models were restricted using many factors that include computationa… ▽ More","Submitted 7 October, 2020; originally announced October 2020."
37,https://arxiv.org/abs/2010.03114,https://arxiv.org/pdf/2010.03114,"HIV-prevalence mapping using Small Area Estimation in Kenya, Tanzania, and Mozambique at the first sub-national level",Authors: Enrique M. Saldarriaga,Abstract: …of the HIV prevalence in the subset of African countries we chose. These results can help in identification and targeting of high-prevalent regions to increase the supply of healthcare services to reduce the spread of the disease and increase the health quality of people living with HIV. ▽ More,"Submitted 6 October, 2020; originally announced October 2020."
38,https://arxiv.org/abs/2010.02819,https://arxiv.org/pdf/2010.02819,Interpretable Sequence Classification via Discrete Optimization,"Authors: Maayan Shvo, Andrew C. Li, Rodrigo Toro Icarte, Sheila A. McIlraith","Abstract: Sequence classification is the task of predicting a class label given a sequence of observations. In many applications such as healthcare monitoring or intrusion detection, early classification is crucial to prompt intervention. In this work, we learn sequence classifiers that favour early classification from an evolving observation trace. While many state-o… ▽ More","Submitted 6 October, 2020; originally announced October 2020."
39,https://arxiv.org/abs/2010.02742,https://arxiv.org/pdf/2010.02742,Wound and episode level readmission risk or weeks to readmit: Why do patients get readmitted? How long does it take for a patient to get readmitted?,"Authors: Subba Reddy Oota, Nafisur Rahman, Shahid Saleem Mohammed, Jeffrey Galitz, Ming Liu",Abstract: The Affordable care Act of 2010 had introduced Readmission reduction program in 2012 to reduce avoidable re-admissions to control rising healthcare costs. Wound care impacts 15 of medicare beneficiaries making it one of the major contributors of medicare health care cost. Health plans have been exploring proactive health care services that can focus on preve… ▽ More,"Submitted 5 October, 2020; originally announced October 2020."
40,https://arxiv.org/abs/2010.02715,https://arxiv.org/pdf/2010.02715,Assessing Automated Machine Learning service to detect COVID-19 from X-Ray and CT images: A Real-time Smartphone Application case study,"Authors: Razib Mustafiz, Khaled Mohsin","Abstract: The recent outbreak of SARS COV-2 gave us a unique opportunity to study for a non interventional and sustainable AI solution. Lung disease remains a major healthcare challenge with high morbidity and mortality worldwide. The predominant lung disease was lung cancer. Until recently, the world has witnessed the global pandemic of COVID19, the Novel coronavirus… ▽ More","Submitted 3 October, 2020; originally announced October 2020."
41,https://arxiv.org/abs/2010.02256,https://arxiv.org/pdf/2010.02256,An Ensemble Approach for Automatic Structuring of Radiology Reports,"Authors: Morteza Pourreza Shahri, Amir Tahmasebi, Bingyang Ye, Henghui Zhu, Javed Aslam, Timothy Ferris","Abstract: …extraction, storage, and querying of patient care information. However, developing a scalable solution is extremely challenging, specifically for radiology reports, as most healthcare institutes use either no template or department/institute specific templates. Moreover, radiologists' reporting style varies from one to another as sentences are telegraphi… ▽ More","Submitted 10 October, 2020; v1 submitted 5 October, 2020; originally announced October 2020."
42,https://arxiv.org/abs/2010.02141,https://arxiv.org/pdf/2010.02141,AdaLead: A simple and robust adaptive greedy search algorithm for sequence design,"Authors: Sam Sinai, Richard Wang, Alexander Whatley, Stewart Slocum, Elina Locane, Eric D. Kelsic","Abstract: Efficient design of biological sequences will have a great impact across many industrial and healthcare domains. However, discovering improved sequences requires solving a difficult optimization problem. Traditionally, this challenge was approached by biologists through a model-free method known as ""directed evolution"", the iterative process of rando… ▽ More","Submitted 5 October, 2020; originally announced October 2020."
43,https://arxiv.org/abs/2010.01496,https://arxiv.org/pdf/2010.01496,Explaining Deep Neural Networks,Authors: Oana-Maria Camburu,"Abstract: …language processing, and speech recognition. However, the decision-making processes of these models are generally not interpretable to users. In various domains, such as healthcare, finance, or law, it is critical to know the reasons behind a decision made by an artificial intelligence system. Therefore, several directions for explaining neural models have r… ▽ More","Submitted 4 October, 2020; originally announced October 2020."
44,https://arxiv.org/abs/2010.01479,https://arxiv.org/pdf/2010.01479,Explanation Ontology: A Model of Explanations for User-Centered AI,"Authors: Shruthi Chari, Oshani Seneviratne, Daniel M. Gruen, Morgan A. Foreman, Amar K. Das, Deborah L. McGuinness","Abstract: …(AI) systems since their conception, with the need for explainability growing as more complex AI models are increasingly used in critical, high-stakes settings such as healthcare. Explanations have often added to an AI system in a non-principled, post-hoc manner. With greater adoption of these systems and emphasis on user-centric explainability, there is a n… ▽ More","Submitted 3 October, 2020; originally announced October 2020."
45,https://arxiv.org/abs/2010.01440,https://arxiv.org/pdf/2010.01440,Uncertainty-Aware Multi-Modal Ensembling for Severity Prediction of Alzheimer's Dementia,"Authors: Utkarsh Sarawgi, Wazeer Zulfikar, Rishab Khincha, Pattie Maes","Abstract: Reliability in Neural Networks (NNs) is crucial in safety-critical applications like healthcare, and uncertainty estimation is a widely researched method to highlight the confidence of NNs in deployment. In this work, we propose an uncertainty-aware boosting technique for multi-modal ensembling to predict Alzheimer's Dementia Severity. The propagation of… ▽ More","Submitted 3 October, 2020; originally announced October 2020."
46,https://arxiv.org/abs/2010.01172,https://arxiv.org/pdf/2010.01172,A Pattern Sequence for Designing Blockchain-Based Healthcare Information Technology Systems,"Authors: Peng Zhang, Douglas C. Schmidt, Jules White","Abstract: …vendor-locked environments. Although blockchain has commonly been used as the operational model behind cryptocurrency, it has far more foreseeable utilities in domains like healthcare, where efficient data flow is highly demanded. Particularly, blockchain and related technologies have been touted as foundational technologies for addressing… ▽ More","Submitted 2 October, 2020; originally announced October 2020."
47,https://arxiv.org/abs/2010.01149,https://arxiv.org/pdf/2010.01149,Evaluating Progress on Machine Learning for Longitudinal Electronic Healthcare Data,"Authors: David Bellamy, Leo Celi, Andrew L. Beam","Abstract: …catalyzed an intense flurry of progress in computer vision. Benchmark tasks have propelled other sub-fields of machine learning forward at an equally impressive pace, but in healthcare it has primarily been image processing tasks, such as in dermatology and radiology, that have experienced similar benchmark-driven progress. In the present study, we performed… ▽ More","Submitted 2 October, 2020; originally announced October 2020."
48,https://arxiv.org/abs/2010.00509,https://arxiv.org/pdf/2010.00509,Cardea: An Open Automated Machine Learning Framework for Electronic Health Records,"Authors: Sarah Alnegheimish, Najat Alrashed, Faisal Aleissa, Shahad Althobaiti, Dongyu Liu, Mansour Alsaleh, Kalyan Veeramachaneni","Abstract: …encapsulating common prediction problems in the health domain and allows users to build predictive models with their own data. This system relies on two components: Fast Healthcare Interoperability Resources (FHIR) -- a standardized data structure for electronic health systems -- and several AUTOML frameworks for automated feature engineering, model selectio… ▽ More","Submitted 1 October, 2020; originally announced October 2020."
49,https://arxiv.org/abs/2010.00488,https://arxiv.org/pdf/2010.00488,Developing Effective Community Network Analysis Tools According to Visualization Psychology,"Authors: Darren J. Edwards, Min Chen","Abstract: Visualization is a useful technology in health science, and especially for community network analysis. Because visualization applications in healthcare are typically risk-averse, health psychologists can play a significant role in ensuring appropriate and effective uses of visualization techniques in… ▽ More","Submitted 1 October, 2020; originally announced October 2020."
50,https://arxiv.org/abs/2010.00482,https://arxiv.org/pdf/2010.00482,Physical Exercise Recommendation and Success Prediction Using Interconnected Recurrent Neural Networks,"Authors: Arash Mahyari, Peter Pirolli","Abstract: Unhealthy behaviors, e.g., physical inactivity and unhealthful food choice, are the primary healthcare cost drivers in developed countries. Pervasive computational, sensing, and communication technology provided by smartphones and smartwatches have made it possible to support individuals in their everyday lives to develop healthier lifestyles. In this paper,… ▽ More","Submitted 1 October, 2020; originally announced October 2020."
51,https://arxiv.org/abs/2009.14623,https://arxiv.org/pdf/2009.14623,COVID-CT-MD: COVID-19 Computed Tomography (CT) Scan Dataset Applicable in Machine Learning and Deep Learning,"Authors: Parnian Afshar, Shahin Heidarian, Nastaran Enshaei, Farnoosh Naderkhani, Moezedin Javad Rafiee, Anastasia Oikonomou, Faranak Babaki Fard, Kaveh Samimi, Konstantinos N. Plataniotis, Arash Mohammadi","Abstract: …1 million lives, since its emergence in late 2019. This highly contagious disease can easily spread, and if not controlled in a timely fashion, can rapidly incapacitate healthcare systems. The current standard diagnosis method, the Reverse Transcription Polymerase Chain Reaction (RT- PCR), is time consuming, and subject to low sensitivity. Chest Radiograph (… ▽ More","Submitted 28 September, 2020; originally announced September 2020."
52,https://arxiv.org/abs/2009.14480,https://arxiv.org/pdf/2009.14480,Network memory in the movement of hospital patients carrying drug-resistant bacteria,"Authors: Ashleigh C. Myall, Robert L. Peach, Andrea Y. Weiße, Frances Davies, Siddharth Mookerjee, Alison Holmes, Mauricio Barahona","Abstract: …susceptible individuals, thus making infection outbreaks both common and challenging. In recent years, there has been a sharp incidence of antimicrobial-resistance amongst healthcare-associated infections, a situation now considered endemic in many countries. Here we present network-based analyses of a data set capturing the movement of patients harbouring d… ▽ More","Submitted 7 October, 2020; v1 submitted 30 September, 2020; originally announced September 2020."
